Garda Station
"32302 Charleville, Cork North Division"
"23604 Cill Ronain, Galway Division"
"45302 Clane, Kildare Division"
"41301 Clara, Laois/Offaly Division"
"22403 Claremorris, Mayo Division"
"23203 Clifden, Galway Division"
"23204 Cloch na Ron, Galway Division"
"41103 Cloghan, Co. Offaly, Laois/Offaly Division"
"51105 Clogheen, Co. Tipperary, Tipperary Division"
"12508 Clogher, Donegal Division"
"14201 Clogherhead, Louth Division"
"33304 Clonakilty, Cork West Division"
"24503 Clonark, Roscommon/Longford Division"
"41207 Clonaslee, Laois/Offaly Division"
"41302 Clonbologue, Laois/Offaly Division"
"66202 Clondalkin, D.M.R. Western Division"
"11501 Clones, Cavan/Monaghan Division"
"12204 Clonmany, Donegal Division"
"51202 Clonmel, Tipperary Division"
"52102 Clonroche, Wexford Division"
"63401 Clontarf, D.M.R. Northern Division"
"51304 Cloughjordan, Tipperary Division"
"32402 Cloyne, Cork North Division"
"33503 Coachford, Cork West Division"
"32103 Cobh, Cork North Division"
"14103 Collon, Louth Division"
"13302 Collooney, Sligo/Leitrim Division"
"22404 Cong, Mayo Division"
"12304 Convoy, Donegal Division"
"13303 Coolaney, Sligo/Leitrim Division"
"63301 Coolock, D.M.R. Northern Division"
"11103 Cootehill, Cavan/Monaghan Division"
"21203 Corofin Co. Clare, Clare Division"
"23803 Corofin Co. Galway, Galway Division"
"52202 Courtown Harbour, Wexford Division"
"23402 Craughwell, Galway Division"
"23104 Creggs, Galway Division"
"33504 Crookstown, Cork West Division"
"35307 Croom, Limerick Division"
"31403 Crosshaven, Cork City Division"
"22204 Crossmolina, Mayo Division"
"64101 Crumlin, D.M.R. Southern Division"
"21101 Crusheen, Clare Division"
"41303 Daingean, Laois/Offaly Division"
"44204 Delvin, Westmeath Division"
"34310 Dingle, Kerry Division"
"51305 Dolla, Tipperary Division"
"12104 Donegal Town, Donegal Division"
"32303 Doneraile, Cork North Division"
"61101 Donnybrook, D.M.R. South Central Division"
"31404 Douglas, Cork City Division"
"11205 Dowra, Cavan/Monaghan Division"
"33205 Drimoleague, Cork West Division"
"33305 Drinagh, Cork West Division"
"14202 Drogheda, Louth Division"
"14303 Drumad, Louth Division"
"35308 Drumcollogher, Limerick Division"
"24303 Drumlish, Roscommon/Longford Division"
"13206 Drumshambo, Sligo/Leitrim Division"
"63202 Dublin Airport, D.M.R. Northern Division"
"42102 Duleek, Meath Division"
"12404 Dun Fionnachaid, Donegal Division"
"65203 Dun Laoghaire, D.M.R. Eastern Division"
"42103 Dunboyne, Meath Division"
"52306 Duncannon, Wexford Division"
"14304 Dundalk, Louth Division"
"65102 Dundrum, D.M.R. Eastern Division"
"54107 Dungarvan, Waterford Division"
"43105 Dunlavin, Wicklow Division"
"14203 Dunleer, Louth Division"
"33306 Dunmanway, Cork West Division"
"54301 Dunmore East, Waterford Division"
"23804 Dunmore, Galway Division"
"42104 Dunshaughlin, Meath Division"
"41208 Durrow, Laois/Offaly Division"
"33206 Durrus, Cork West Division"
"41304 Edenderry, Laois/Offaly Division"
"24304 Edgeworthstown, Roscommon/Longford Division"
"24103 Elphin, Roscommon/Longford Division"
"51604 Emly, Tipperary Division"
"11503 Emyvale, Cavan/Monaghan Division"
"42402 Enfield, Meath Division"
"21102 Ennis, Clare Division"
"52103 Enniscorthy, Wexford Division"
"13106 Enniscrone, Sligo/Leitrim Division"
"43202 Enniskerry, Wicklow Division"
"21205 Ennistymon, Clare Division"
"23501 Eyrecourt, Galway Division"
"34311 Farranfore, Kerry Division"
"41104 Ferbane, Laois/Offaly Division"
"32203 Fermoy, Cork North Division"
"52104 Ferns, Wexford Division"
"54302 Ferrybank, Waterford Division"
"51203 Fethard, Tipperary Division"
"66103 Finglas, D.M.R. Western Division"
"62202 Fitzgibbon Street, D.M.R. North Central Division"
"22503 Foxford, Mayo Division"
"35309 Foynes, Limerick Division"
"24205 Frenchpark, Roscommon/Longford Division"
"53204 Freshford, Kilkenny/Carlow Division"
"23304 Gaillimh, Galway Division"
"63102 Garristown, D.M.R. Northern Division"
"32104 Glanmire, Cork City Division"
"32304 Glantaine, Cork North Division"
"42407 Glasson, Westmeath Division"
"22106 Gleann na Muaidhe, Mayo Division"
"23805 Glenamaddy, Galway Division"
"34105 Glenbeigh, Kerry Division"
"33207 Glengarriff, Cork West Division"
"53303 Glenmore, Kilkenny/Carlow Division"
"35310 Glin, Limerick Division"
"52403 Glynn, Wexford Division"
"22601 Gob an Choire, Mayo Division"
"51605 Golden, Tipperary Division"
"53304 Goresbridge, Kilkenny/Carlow Division"
"52203 Gorey, Wexford Division"
"23403 Gort, Galway Division"
"53305 Graiguenamanagh, Kilkenny/Carlow Division"
"24305 Granard, Roscommon/Longford Division"
"13304 Grange, Sligo/Leitrim Division"
"43203 Greystones, Wicklow Division"
"31203 Gurranabraher, Cork City Division"
"13107 Gurteen, Sligo/Leitrim Division"
"14305 Hackballscross, Louth Division"
"53104 Hacketstown, Kilkenny/Carlow Division"
"23806 Headford, Galway Division"
"35203 Henry Street, Limerick Division"
"51503 Holycross, Tipperary Division"
"35107 Hospital Co Limerick, Limerick Division"
"63402 Howth, D.M.R. Northern Division"
"23605 Indreabhain, Galway Division"
"33106 Innishannon, Cork West Division"
"61102 Irishtown, D.M.R. South Central Division"
"33403 Kanturk, Cork North Division"
"24104 Keadue, Roscommon/Longford Division"
"33209 Kealkil, Cork West Division"
"22602 Keel, Mayo Division"
"42203 Kells Ceanannus Mor, Meath Division"
"24401 Kenagh, Roscommon/Longford Division"
"34106 Kenmare, Kerry Division"
"12405 Kerrykeel, Donegal Division"
"61301 Kevin Street, D.M.R. South Central Division"
"44105 Kilbeggan, Westmeath Division"
"33107 Kilbrittain, Cork West Division"
"45203 Kilcock, Kildare Division"
"23105 Kilconnell, Galway Division"
"41105 Kilcormac, Laois/Offaly Division"
"45303 Kilcullen, Kildare Division"
"45104 Kildare, Kildare Division"
"32204 Kildorrery, Cork North Division"
"21206 Kildysart, Clare Division"
"21207 Kilkee, Clare Division"
"22504 Kilkelly, Mayo Division"
"53206 Kilkenny, Kilkenny/Carlow Division"
"54201 Kill, Co Waterford, Waterford Division"
"22205 Killala, Mayo Division"
"21104 Killaloe, Clare Division"
"34108 Killarney, Kerry Division"
"32403 Killeagh, Cork North Division"
"51504 Killenaule, Tipperary Division"
"11206 Killeshandra, Cavan/Monaghan Division"
"23502 Killimor, Galway Division"
"34109 Killorglin, Kerry Division"
"44206 Killucan, Westmeath Division"
"53307 Kilmacow, Kilkenny/Carlow Division"
"12406 Kilmacrennan, Donegal Division"
"54202 Kilmacthomas, Waterford Division"
"22406 Kilmaine, Mayo Division"
"61302 Kilmainham, D.M.R. South Central Division"
"35109 Kilmallock, Limerick Division"
"54203 Kilmeaden, Waterford Division"
"53308 Kilmoganny, Kilkenny/Carlow Division"
"52404 Kilmore Quay, Wexford Division"
"11404 Kilnaleck, Cavan/Monaghan Division"
"23503 Kilrickle, Galway Division"
"21208 Kilmihil , Clare Division"
"21209 Kilrush, Clare Division"
"51205 Kilsheelan, Tipperary Division"
"22505 Kiltimagh, Mayo Division"
"23106 Kiltormer, Galway Division"
"32205 Kilworth, Cork North Division"
"11104 Kingscourt, Cavan/Monaghan Division"
"13208 Kinlough, Sligo/Leitrim Division"
"44207 Kinnegad, Westmeath Division"
"41106 Kinnitty, Laois/Offaly Division"
"33108 Kinsale, Cork West Division"
"23406 Kinvara, Galway Division"
"22407 Knock, Mayo Division"
"34206 Knocknagoshel, Kerry Division"
"24402 Lanesboro, Roscommon/Longford Division"
"42105 Laytown, Meath Division"
"23306 Leach Seoirse, Galway Division"
"54204 Leamybrien, Waterford Division"
"23606 Leitir Mor, Galway Division"
"45204 Leixlip, Kildare Division"
"23206 Letterfrack, Galway Division"
"12305 Letterkenny, Donegal Division"
"12306 Lifford, Donegal Division"
"32305 Liscarroll, Cork North Division"
"21211 Lisdoonvarna, Clare Division"
"54108 Lismore, Waterford Division"
"34207 Listowel, Kerry Division"
"51505 Littleton, Tipperary Division"
"34208 Lixnaw, Kerry Division"
"24403 Longford, Roscommon/Longford Division"
"42404 Longwood, Meath Division"
"51306 Lorrha, Tipperary Division"
"23504 Loughrea, Galway Division"
"22603 Louisburgh, Mayo Division"
"14104 Louth, Louth Division"
"66301 Lucan, D.M.R. Western Division"
"63103 Lusk, D.M.R. Northern Division"
"33506 Macroom, Cork West Division"
"23607 Maigh Cuilinn, Galway Division"
"63302 Malahide, D.M.R. Northern Division"
"32306 Mallow, Cork North Division"
"13209 Manorhamilton, Sligo/Leitrim Division"
"31407 Mayfield, Cork City Division"
"45205 Maynooth, Kildare Division"
"35205 Mayorstone Park, Limerick Division"
"32404 Midleton, Cork North Division"
"32307 Milford, Co Cork, Cork North Division"
"12408 Milford, Co Donegal, Donegal Division"
"33406 Millstreet, Co. Cork, Cork West Division"
"23808 Milltown, Galway Division"
"21212 Miltown Malbay, Clare Division"
"32206 Mitchelstown, Cork North Division"
"44106 Moate, Westmeath Division"
"13211 Mohill, Sligo/Leitrim Division"
"11504 Monaghan, Cavan/Monaghan Division"
"45105 Monasterevin, Kildare Division"
"51402 Moneygall, Tipperary Division"
"23307 Monivea, Galway Division"
"53309 Mooncoin, Kilkenny/Carlow Division"
"23108 Mountbellew, Galway Division"
"12106 Mountcharles, Donegal Division"
"62203 Mountjoy, D.M.R. North Central Division"
"41209 Mountmellick, Laois/Offaly Division"
"41210 Mountrath, Laois/Offaly Division"
"12207 Moville, Donegal Division"
"23109 Moylough, Galway Division"
"51403 Moyne, Tipperary Division"
"12208 Muff, Donegal Division"
"53106 Muine Bheag, Kilkenny/Carlow Division"
"11105 Mullagh, Cavan/Monaghan Division"
"51206 Mullinahone, Tipperary Division"
"53310 Mullinavat, Kilkenny/Carlow Division"
"44208 Mullingar, Westmeath Division"
"44209 Multyfarnham, Westmeath Division"
"35110 Murroe, Limerick Division"
"53107 Myshall, Kilkenny/Carlow Division"
"12107 Na Cealla Beaga, Donegal Division"
"12510 Na Gleannta, Donegal Division"
"45305 Naas, Kildare Division"
"42301 Navan, Meath Division"
"51307 Nenagh, Tipperary Division"
"52307 New Ross, Wexford Division"
"45106 Newbridge, Kildare Division"
"35312 Newcastle West, Limerick Division"
"21106 Newmarket on Fergus, Clare Division"
"33407 Newmarket, Cork North Division"
"22605 Newport, Co Mayo, Mayo Division"
"51308 Newport, Co Tipperary, Tipperary Division"
"12308 Newtowncunningham, Donegal Division"
"43204 Newtownmountkennedy, Wicklow Division"
"42302 Nobber, Meath Division"
"42204 Oldcastle, Meath Division"
"14306 Omeath, Louth Division"
"35111 Oola, Limerick Division"
"23608 Oughterard, Galway Division"
"52106 Oulart, Wexford Division"
"52107 Oylegate, Wexford Division"
"35112 Pallasgreen, Limerick Division"
"35313 Pallaskenry, Limerick Division"
"22306 Partry, Mayo Division"
"54303 Passage East, Waterford Division"
"31405 Passage West, Cork City Division"
"35403 Patrickswell, Limerick Division"
"61202 Pearse Street, D.M.R. South Central Division"
"12108 Pettigo, Donegal Division"
"53311 Piltown, Kilkenny/Carlow Division"
"41211 Portarlington, Laois/Offaly Division"
"41212 Portlaoise, Laois/Offaly Division"
"54205 Portlaw, Waterford Division"
"34111 Portmagee, Kerry Division"
"51309 Portroe, Tipperary Division"
"23506 Portumna, Galway Division"
"63403 Raheny, D.M.R. Northern Division"
"12409 Ramelton, Donegal Division"
"12309 Raphoe, Donegal Division"
"45107 Rathangan, Kildare Division"
"66203 Rathcoole, D.M.R. Western Division"
"32207 Rathcormac, Co Cork, Cork North Division"
"41213 Rathdowney, Laois/Offaly Division"
"43305 Rathdrum, Wicklow Division"
"64201 Rathfarnham, D.M.R. Southern Division"
"54206 Rathgormack, Co Waterford, Waterford Division"
"35314 Rathkeale, Limerick Division"
"64301 Rathmines, D.M.R. Southern Division"
"33408 Rathmore, Co Kerry, Cork West Division"
"12410 Rathmullen, Donegal Division"
"53108 Rathvilly, Kilkenny/Carlow Division"
"41306 Rhode, Laois/Offaly Division"
"13108 Riverstown, Sligo/Leitrim Division"
"45306 Robertstown, Kildare Division"
"44211 Rochfortbridge, Westmeath Division"
"11305 Rockcorry, Cavan/Monaghan Division"
"66302 Ronanstown, D.M.R. Western Division"
"24105 Roosky, Roscommon/Longford Division"
"23609 Ros Muc, Galway Division"
"24505 Roscommon, Roscommon/Longford Division"
"51404 Roscrea, Tipperary Division"
"33307 Rosscarbery, Cork West Division"
"13305 Rosses Point, Sligo/Leitrim Division"
"52405 Rosslare Harbour, Wexford Division"
"52406 Rosslare Strand, Wexford Division"
"43306 Roundwood, Wicklow Division"
"35404 Roxboro Road, Limerick Division"
"63203 Santry, D.M.R. Northern Division"
"21108 Scariff, Clare Division"
"33210 Schull, Cork West Division"
"11506 Scotstown, Cavan/Monaghan Division"
"65205 Shankill, D.M.R. Eastern Division"
"21109 Shannon, Clare Division"
"11106 Shercock, Cavan/Monaghan Division"
"51405 Shevry, Tipperary Division"
"43107 Shillelagh, Wicklow Division"
"41108 Shinrone, Laois/Offaly Division"
"22408 Shrule, Mayo Division"
"21110 Sixmilebridge, Clare Division"
"63105 Skerries, D.M.R. Northern Division"
"33308 Skibbereen, Cork West Division"
"13306 Skreen, Sligo/Leitrim Division"
"42303 Slane, Meath Division"
"13307 Sligo, Sligo/Leitrim Division"
"24306 Smear, Roscommon/Longford Division"
"34112 Sneem, Kerry Division"
"23207 Sraith Salach, Galway Division"
"53312 Stoneyford, Kilkenny/Carlow Division"
"62301 Store Street, D.M.R. North Central Division"
"41214 Stradbally Co Laois, Laois/Offaly Division"
"24106 Strokestown, Roscommon/Longford Division"
"33507 Stuake, Cork West Division"
"42405 Summerhill, Meath Division"
"64102 Sundrive Road, D.M.R. Southern Division"
"11207 Swanlinbar, Cavan/Monaghan Division"
"22506 Swinford, Mayo Division"
"63303 Swords, D.M.R. Northern Division"
"52407 Taghmon, Wexford Division"
"64202 Tallaght, D.M.R. Southern Division"
"54109 Tallow, Waterford Division"
"34210 Tarbert, Kerry Division"
"33508 Tarelton, Cork West Division"
"24506 Taughmaconnell, Roscommon/Longford Division"
"51406 Templederry, Tipperary Division"
"51407 Templemore, Tipperary Division"
"51408 Templetuohy, Tipperary Division"
"64302 Terenure, D.M.R. Southern Division"
"53313 Thomastown, Kilkenny/Carlow Division"
"51506 Thurles, Tipperary Division"
"33109 Timoleague, Cork West Division"
"43108 Tinahely, Wicklow Division"
"51606 Tipperary, Tipperary Division"
"31406 Togher, Cork City Division"
"51312 Toomevara, Tipperary Division"
"34313 Tralee, Kerry Division"
"54208 Tramore, Waterford Division"
"42406 Trim, Meath Division"
"23809 Tuam, Galway Division"
"13109 Tubbercurry, Sligo/Leitrim Division"
"21111 Tulla, Clare Division"
"41307 Tullamore, Laois/Offaly Division"
"53109 Tullow, Kilkenny/Carlow Division"
"24207 Tulsk, Roscommon/Longford Division"
"53207 Urlingford, Kilkenny/Carlow Division"
"11108 Virginia, Cavan/Monaghan Division"
"31304 Watercourse Road, Cork City Division"
"54304 Waterford, Waterford Division"
"32106 Watergrasshill, Cork North Division"
"22606 Westport, Mayo Division"
"52408 Wexford, Wexford Division"
"32405 Whitegate, Cork North Division"
"43307 Wicklow, Wicklow Division"
"23810 Williamstown, Galway Division"
"23508 Woodford, Galway Division"
"32406 Youghal, Cork North Division"
