Garda Station,Latitude,Longitude
"32203 Fermoy, Cork North Division",52.1378017,-8.2752606
"52104 Ferns, Wexford Division",52.5909249,-6.498010499999999
"54302 Ferrybank, Waterford Division",52.2671181,-7.1035588
"51203 Fethard, Tipperary Division",52.4659436,-7.6927334
"66103 Finglas, D.M.R. Western Division",53.390325,-6.298400699999999
"62202 Fitzgibbon Street, D.M.R. North Central Division",53.3579137,-6.2558584
"22503 Foxford, Mayo Division",53.98077259999999,-9.113245
"35309 Foynes, Limerick Division",52.6102719,-9.104861699999999
"24205 Frenchpark, Roscommon/Longford Division",53.8695107,-8.4074282
"53204 Freshford, Kilkenny/Carlow Division",52.73250669999999,-7.3981631
"23304 Gaillimh, Galway Division",53.274001,-9.051266199999999
"63102 Garristown, D.M.R. Northern Division",53.5668673,-6.3835624
"32104 Glanmire, Cork City Division",51.9177097,-8.3981691
"32304 Glantaine, Cork North Division",52.1037226,-8.7557939
"42407 Glasson, Westmeath Division",53.4699107,-7.863907299999999
"22106 Gleann na Muaidhe, Mayo Division",54.2409359,-9.6760342
"23805 Glenamaddy, Galway Division",53.6055461,-8.5604032
"34105 Glenbeigh, Kerry Division",52.0561861,-9.9403477
"33207 Glengarriff, Cork West Division",51.7500277,-9.5522224
"53303 Glenmore, Kilkenny/Carlow Division",52.352761,-7.025626399999999
"35310 Glin, Limerick Division",52.5688921,-9.2819067
"52403 Glynn, Wexford Division",52.3735916,-6.5855277
"22601 Gob an Choire, Mayo Division",53.9302564,-9.9266332
"51605 Golden, Tipperary Division",52.4984411,-7.980749500000001
"53304 Goresbridge, Kilkenny/Carlow Division",52.6297084,-6.9940878
"52203 Gorey, Wexford Division",52.675307,-6.295941
"23403 Gort, Galway Division",53.0666432,-8.8187486
"53305 Graiguenamanagh, Kilkenny/Carlow Division",52.54406160000001,-6.959308999999999
"24305 Granard, Roscommon/Longford Division",53.7791755,-7.4923774
"13304 Grange, Sligo/Leitrim Division",54.3932789,-8.5220973
"43203 Greystones, Wicklow Division",53.1491175,-6.0793414
"31203 Gurranabraher, Cork City Division",51.9034612,-8.490449
"13107 Gurteen, Sligo/Leitrim Division",53.99590019999999,-8.5226889
"14305 Hackballscross, Louth Division",54.03164,-6.5248
"53104 Hacketstown, Kilkenny/Carlow Division",52.8653857,-6.5586053
"23806 Headford, Galway Division",53.4694617,-9.106133999999999
"35203 Henry Street, Limerick Division",52.6609511,-8.6317237
"51503 Holycross, Tipperary Division",52.6397686,-7.870179299999998
"35107 Hospital Co Limerick, Limerick Division",52.4743003,-8.4324543
"63402 Howth, D.M.R. Northern Division",53.3801223,-6.0575651
"23605 Indreabhain, Galway Division",53.24031129999999,-9.4655489
"33106 Innishannon, Cork West Division",51.7649008,-8.6574773
"61102 Irishtown, D.M.R. South Central Division",53.6627806,-8.8900518
"33403 Kanturk, Cork North Division",52.1774532,-8.903355399999999
"24104 Keadue, Roscommon/Longford Division",54.0511423,-8.1377557
"33209 Kealkil, Cork West Division",51.7497062,-9.3813395
"22602 Keel, Mayo Division",53.9744322,-10.0852574
"42203 Kells Ceanannus Mor, Meath Division",53.7268353,-6.8748325
"24401 Kenagh, Roscommon/Longford Division",53.622007,-7.8147206
"34106 Kenmare, Kerry Division",51.8801017,-9.583520199999999
"12405 Kerrykeel, Donegal Division",55.13872,-7.662849999999999
"61301 Kevin Street, D.M.R. South Central Division",53.41291,-8.24389
"44105 Kilbeggan, Westmeath Division",53.3684574,-7.4994634
"33107 Kilbrittain, Cork West Division",51.6735577,-8.6917337
"45203 Kilcock, Kildare Division",53.3994266,-6.6681233
"23105 Kilconnell, Galway Division",53.3314659,-8.401432699999999
"41105 Kilcormac, Laois/Offaly Division",53.1764113,-7.7274112
"45303 Kilcullen, Kildare Division",53.1302865,-6.745279099999999
"45104 Kildare, Kildare Division",53.15980589999999,-6.9089763
"32204 Kildorrery, Cork North Division",52.2464986,-8.4273898
"21206 Kildysart, Clare Division",52.6739738,-9.1075349
"21207 Kilkee, Clare Division",52.6828228,-9.6444116
"22504 Kilkelly, Mayo Division",53.87179219999999,-8.8502415
"53206 Kilkenny, Kilkenny/Carlow Division",52.6549027,-7.246402900000001
"54201 Kill, Co Waterford, Waterford Division",52.1758844,-7.335392100000001
"22205 Killala, Mayo Division",54.2125146,-9.220999899999999
"21104 Killaloe, Clare Division",52.808886,-8.4475152
"34108 Killarney, Kerry Division",52.0599609,-9.504537000000001
"32403 Killeagh, Cork North Division",51.9424888,-7.9920158
"51504 Killenaule, Tipperary Division",52.5684251,-7.6734719
"11206 Killeshandra, Cavan/Monaghan Division",54.0138727,-7.5282313
"23502 Killimor, Galway Division",53.1656231,-8.2910516
"34109 Killorglin, Kerry Division",52.10635079999999,-9.7843403
"44206 Killucan, Westmeath Division",53.5136852,-7.142785699999999
"53307 Kilmacow, Kilkenny/Carlow Division",52.31208050000001,-7.1765298
"12406 Kilmacrennan, Donegal Division",55.030269,-7.7793541
"54202 Kilmacthomas, Waterford Division",52.2054997,-7.426680099999999
"22406 Kilmaine, Mayo Division",53.5811547,-9.1227567
"61302 Kilmainham, D.M.R. South Central Division",53.3430611,-6.3215398
"35109 Kilmallock, Limerick Division",52.3986185,-8.5715956
"54203 Kilmeaden, Waterford Division",52.23333,-7.24281
"53308 Kilmoganny, Kilkenny/Carlow Division",52.46147269999999,-7.3282056
"52404 Kilmore Quay, Wexford Division",52.17571940000001,-6.5863919
"11404 Kilnaleck, Cavan/Monaghan Division",53.8622249,-7.3213784
"23503 Kilrickle, Galway Division",53.2306925,-8.4529906
"21208 Kilmihil , Clare Division",52.7208888,-9.3198723
"21209 Kilrush, Clare Division",52.6406999,-9.4859374
"51205 Kilsheelan, Tipperary Division",52.3611942,-7.580387699999999
"22505 Kiltimagh, Mayo Division",53.8494839,-8.9994739
"23106 Kiltormer, Galway Division",53.2355071,-8.2733888
"32205 Kilworth, Cork North Division",52.1760533,-8.247312299999999
"11104 Kingscourt, Cavan/Monaghan Division",53.9068739,-6.8052229
"13208 Kinlough, Sligo/Leitrim Division",54.4487146,-8.2858213
"44207 Kinnegad, Westmeath Division",53.4568103,-7.1049959
"41106 Kinnitty, Laois/Offaly Division",53.097806,-7.7189969
"33108 Kinsale, Cork West Division",51.7058853,-8.5222327
"23406 Kinvara, Galway Division",53.1389085,-8.9362964
"22407 Knock, Mayo Division",53.7900638,-8.921465999999999
"34206 Knocknagoshel, Kerry Division",52.3313435,-9.38178
"24402 Lanesboro, Roscommon/Longford Division",53.67245459999999,-7.9863962
"42105 Laytown, Meath Division",53.6853371,-6.241164299999999
"23306 Leach Seoirse, Galway Division",53.274001,-9.051266199999999
"54204 Leamybrien, Waterford Division",52.1683402,-7.519583700000001
"23606 Leitir Mor, Galway Division",53.2887484,-9.655943700000002
"45204 Leixlip, Kildare Division",53.36384280000001,-6.4900033
"23206 Letterfrack, Galway Division",53.55360340000001,-9.9482317
"12305 Letterkenny, Donegal Division",54.9533201,-7.7287972
"12306 Lifford, Donegal Division",54.8319619,-7.4835927
"32305 Liscarroll, Cork North Division",52.2600728,-8.8041711
"21211 Lisdoonvarna, Clare Division",53.0301669,-9.2897106
"54108 Lismore, Waterford Division",52.13581840000001,-7.9376803
"34207 Listowel, Kerry Division",52.4455769,-9.4862893
"51505 Littleton, Tipperary Division",52.6369829,-7.735418999999998
"34208 Lixnaw, Kerry Division",52.4064615,-9.6181275
"24403 Longford, Roscommon/Longford Division",53.52341269999999,-7.340730400000001
"42404 Longwood, Meath Division",53.4550101,-6.9247866
"51306 Lorrha, Tipperary Division",53.0931067,-8.1228038
"23504 Loughrea, Galway Division",53.1990527,-8.5651876
"22603 Louisburgh, Mayo Division",53.7631376,-9.8090849
"14104 Louth, Louth Division",53.9507955,-6.5406821
"66301 Lucan, D.M.R. Western Division",53.3572085,-6.4498488
"63103 Lusk, D.M.R. Northern Division",53.52632639999999,-6.1658841
"33506 Macroom, Cork West Division",51.9047559,-8.958378399999999
"23607 Maigh Cuilinn, Galway Division",53.3387481,-9.1814776
"63302 Malahide, D.M.R. Northern Division",53.4509236,-6.1501378
"32306 Mallow, Cork North Division",52.13897619999999,-8.6539164
"13209 Manorhamilton, Sligo/Leitrim Division",54.3048735,-8.1766956
"31407 Mayfield, Cork City Division",51.91426509999999,-8.4356118
"45205 Maynooth, Kildare Division",53.3815491,-6.5910382
"35205 Mayorstone Park, Limerick Division",52.6732514,-8.6443282
"32404 Midleton, Cork North Division",51.9143321,-8.1726276
"32307 Milford, Co Cork, Cork North Division",52.3407344,-8.8557344
"12408 Milford, Co Donegal, Donegal Division",55.0883927,-7.698962099999999
"33406 Millstreet, Co. Cork, Cork West Division",52.06013180000001,-9.0647121
"23808 Milltown, Galway Division",53.6137016,-8.898962000000001
"21212 Miltown Malbay, Clare Division",52.8562013,-9.4007763
"32206 Mitchelstown, Cork North Division",52.2662127,-8.2698863
"44106 Moate, Westmeath Division",53.3949987,-7.7186188
"13211 Mohill, Sligo/Leitrim Division",53.9218288,-7.865310099999999
"11504 Monaghan, Cavan/Monaghan Division",54.2492434,-6.9683082
"45105 Monasterevin, Kildare Division",53.1400651,-7.060377
"51402 Moneygall, Tipperary Division",52.87973760000001,-7.9578079
"23307 Monivea, Galway Division",53.37426199999999,-8.702721
"53309 Mooncoin, Kilkenny/Carlow Division",52.8359963,-6.924607399999999
"23108 Mountbellew, Galway Division",53.47188,-8.5049
"12106 Mountcharles, Donegal Division",54.6474421,-8.1947189
"62203 Mountjoy, D.M.R. North Central Division",54.6468301,-7.354629999999999
"41209 Mountmellick, Laois/Offaly Division",53.1181481,-7.3267379
"41210 Mountrath, Laois/Offaly Division",53.0025597,-7.4751396
"12207 Moville, Donegal Division",55.1890182,-7.040053299999999
"23109 Moylough, Galway Division",53.48770529999999,-8.565876
"51403 Moyne, Tipperary Division",52.7358618,-7.7147009
"12208 Muff, Donegal Division",55.0680564,-7.2689498
"53106 Muine Bheag, Kilkenny/Carlow Division",52.5776957,-7.218001999999999
"11105 Mullagh, Cavan/Monaghan Division",53.8115174,-6.945981799999999
"51206 Mullinahone, Tipperary Division",52.512032,-7.505708599999999
"53310 Mullinavat, Kilkenny/Carlow Division",52.3679303,-7.1711881
